Section Number,Geographic Name,Height (m),d13C_carb,d18O_carb,d13C_org,D13C,Percent carb.,TOC (%)
920,"Natiscotec
Creek",0.56,2.85,-3.44,,,,
920,"Natiscotec
Creek",0.58,2.97,-3.3,,,,
920,"Natiscotec
Creek",0.6,3.08,-3.52,,,,
920,"Natiscotec
Creek",0.64,2.84,-3.88,,,,
920,"Natiscotec
Creek",0.66,2.88,-3.6,,,,
920,"Natiscotec
Creek",0.68,2.79,-3.85,,,,
920,"Natiscotec
Creek",0.7,2.95,-3.58,,,,
920,"Natiscotec
Creek",0.72,2.97,-3.43,,,,
920,"Natiscotec
Creek",0.73,2.67,-3.92,,,,
920,"Natiscotec
Creek",0.75,3.06,-3.56,,,,
920,"Natiscotec
Creek",0.77,2.97,-3.65,,,,
914,Lousy Cove,0.3,0.27,-4.72,NaN,NaN,NaN,NaN
914,Lousy Cove,0.6,0.06,-5.9,-26.39,26.45,54.20%,0.68%
914,Lousy Cove,0.9,0.35,-4.64,-25.26,25.62,64.70%,0.66%
914,Lousy Cove,1,0.59,-4.45,-25.58,26.18,61.50%,0.85%
914,Lousy Cove,1.3,-0.09,-6.14,-25.48,25.4,60.30%,0.83%
914,Lousy Cove,1.8,0.33,-7.73,-25.74,26.07,74.10%,0.66%
914,Lousy Cove,1.9,0.17,-7.15,-25.49,25.12,84.40%,0.57%
914,Lousy Cove,2.5,-0.2,-5.82,-25.56,25.36,76.10%,0.56%
914,Lousy Cove,3,-0.45,-3.88,-26.64,26.49,96.00%,0.50%
914,Lousy Cove,3.5,0.51,-4.63,-27.44,27.95,83.10%,1.08%
914,Lousy Cove,4,0.51,-4.03,-26.89,27.4,83.60%,0.93%
914,Lousy Cove,4.5,0.75,-5.01,-26.86,27.61,82.90%,0.96%
914,Lousy Cove,5,0.7,-3.29,-26.03,26.73,88.80%,0.66%
914,Lousy Cove,5.5,0.51,-2.68,-25.99,26.5,85.90%,0.78%
914A,Lousy Cove,5.58,3.75,-4.79,NaN,NaN,NaN,NaN
914A,Lousy Cove,5.74,3.79,-5.16,NaN,NaN,NaN,NaN
914A,Lousy Cove,5.75,2.28,-6.44,NaN,NaN,NaN,NaN
914A,Lousy Cove,5.76,3.05,-5.59,NaN,NaN,NaN,NaN
914A,Lousy Cove,5.77,3.62,-5.3,NaN,NaN,NaN,NaN
914,Lousy Cove,5.8,3.29,-5.4,-24.88,28.21,96.60%,0.29%
914A,Lousy Cove,5.9,3.88,-5.46,NaN,NaN,NaN,NaN
914A,Lousy Cove,5.92,3.92,-4.74,NaN,NaN,NaN,NaN
914,Lousy Cove,6,3.46,-4.31,-22.9,26.25,97.50%,0.25%
914A,Lousy Cove,6.03,4.22,-4.91,NaN,NaN,NaN,NaN
914A,Lousy Cove,6.05,4.38,-3.95,NaN,NaN,NaN,NaN
914,Lousy Cove,6.1,3.49,-3.93,-23.96,27.44,95.70%,0.34%
914A,Lousy Cove,6.15,4.19,-3.68,NaN,NaN,NaN,NaN
914A,Lousy Cove,6.16,4.13,-3.84,NaN,NaN,NaN,NaN
914A,Lousy Cove,6.18,3.38,-4.65,NaN,NaN,NaN,NaN
914A,Lousy Cove,6.19,3.17,-4.42,NaN,NaN,NaN,NaN
914,Lousy Cove,6.5,2.89,-4.12,-24.69,27.59,85.50%,0.51%
914,Lousy Cove,7.1,2.55,-4.41,-25.33,27.88,82.30%,0.45%
914,Lousy Cove,7.6,2.39,-4.51,-25.2,27.59,86.10%,0.17%
914,Lousy Cove,8,2.13,-3.73,-25.93,28.06,82.30%,0.34%
914,Lousy Cove,8.5,2.16,-4.22,-26.06,28.22,80.40%,0.76%
914,Lousy Cove,9,1.8,-5.2,-24.89,26.69,84.30%,0.30%
914,Lousy Cove,9.5,2.14,-3.51,-26.48,28.62,88.60%,0.42%
D821,English Head,0,-0.09,-4.22,,,,
D821,English Head,1,-0.04,-4.4,,,,
D821,"English
Head",2,0.09,-4.37,,,,
D821,English Head,3,0.09,-4.42,,,,
D821,English Head,4,0.1,-4.06,,,,
D821,"English
Head",5,0.04,-4.19,,,,
D821,English Head,6,0.21,-3.87,,,,
D821,English Head,7,0.03,-3.98,,,,
D821,English Head,8,0.39,-4.21,,,,
D821,English Head,9,0.2,-4.26,,,,
